op_id,name,machine,tool,workholding,datum,inputs,outputs,checks,notes
OP-010,Review design package and choose build method,Bench,"calipers, ruler, design table",flat bench,Datum A labium edge,"design.md; build-methods.md; family-spec.csv",selected prototype and method,"method selected; target key selected; validation rows ready","Start with GEM-SC-C5 unless the goal is historical horn reference."
OP-020,Prepare natural horn blank,Bench / drill press,"fine saw, scrapers, mild detergent, calipers",padded vise,wide-end seating plane,"authentic-horn-build-plan.md; horn-blank-spec.csv",cleaned horn blank,"tip closed; wall sound; volume measured","Only for natural-horn method."
OP-030,Fabricate slip-cast master,CNC router / 3D printer / bench,"3D printer or 1/4 in ball end; sealant; sandpaper",mold-master fixture,master centerline,"family-spec.csv; cad/gemshorn_family.scad",sealed scaled master,"shrinkage scale applied; split line marked; no undercuts","Only for ceramic method."
OP-040,Make plaster mold,Bench,"mold box, plaster, release, registration key tools",level mold board,mold split plane,"mold-and-slip-casting-plan.md; drawings/gemshorn-mold-schematic.svg",two-part plaster mold,"keys register; pour mouth clear; cast releases","Only for ceramic method."
OP-050,Prepare CNC wood halves,CNC router,"surfacing bit, 1/4 in upcut, 1/4 in dowel drill",spoilboard clamps and dowel fixture,split plane Datum C,"cut-list.csv; drawings/gemshorn-cnc-wood-body.svg",faced halves with dowel holes,"stock oversized; dowels outside acoustic cavity; clamp clearance checked","Only for CNC wood method."
OP-060,Route CNC wood cavity halves,CNC router,"1/4 in ball end; optional 1/8 in ball end",dowel fixture plus perimeter clamps,Datum B centerline,"cad/gemshorn_split_wood_body.scad; cnc/wood-body-cnc-plan.md",mirrored cavity halves,"minimum wall remains; no tearout in voicing zone; cavity volume estimated","Pre-CAM plan only; verify in CAM before cutting."
OP-070,Dry-fit and leak test wood body,Bench,"dowel pins, masking tape, low-pressure bulb, soapy water",padded bench,dowel Datum D,"validation.csv; routed halves",leak-tested dry assembly,"no bubbles for 2 minutes; mating faces close fully","Fix seam before glue-up."
OP-080,Cast ceramic body,Bench / kiln,"casting slip, plaster mold, drill bits, kiln",strapped plaster mold,pour mouth / wide-end plane,"mold-and-slip-casting-plan.md; validation.csv",bisque test body,"wall measured; shrinkage logged; no cracks","Only after mold dries fully."
OP-090,Fipple block and voicing,Bench,"small chisels, knife, files, feeler gauges",padded vise,Datum A labium edge,"drawings/gemshorn-voicing-detail.svg; assembly-manual.md",speaking instrument,"windway even; labium crisp; closed note speaks","Applies to all methods."
OP-100,Tone-hole drilling and tuning,Bench / drill press,"undersize bits, tapered reamers, tuner, wax",padded support,centerline hole layout,"hole-schedule-modern.csv; hole-schedule-historical.csv",tuned scale pass,"holes opened low to high; cents error logged","Do not oversize holes before first measured pass."
OP-900,Final validation and documentation,Bench,"tuner, microphone, calipers, thermometer, camera",padded bench,method-specific acoustic datum,"validation.csv; photo-shotlist.md",updated validation and photos,"measured_hz; cents_error; temperature; process photos","Feeds site and future empirical corrections."
